"Rho00_Constant1_CoverSPSC","Rho00_Constant1_CoverSPSCReg","Rho00_Constant1_CoverSCPI","Rho00_Constant1_LengthSPSC","Rho00_Constant1_LengthSPSCReg","Rho00_Constant1_LengthSCPI","Rho00_Constant1_BiasSPSC","Rho00_Constant1_BiasSPSCReg","Rho00_Constant1_BiasSCPI","Rho00_Constant2_CoverSPSC","Rho00_Constant2_CoverSPSCReg","Rho00_Constant2_CoverSCPI","Rho00_Constant2_LengthSPSC","Rho00_Constant2_LengthSPSCReg","Rho00_Constant2_LengthSCPI","Rho00_Constant2_BiasSPSC","Rho00_Constant2_BiasSPSCReg","Rho00_Constant2_BiasSCPI","Rho00_Constant3_CoverSPSC","Rho00_Constant3_CoverSPSCReg","Rho00_Constant3_CoverSCPI","Rho00_Constant3_LengthSPSC","Rho00_Constant3_LengthSPSCReg","Rho00_Constant3_LengthSCPI","Rho00_Constant3_BiasSPSC","Rho00_Constant3_BiasSPSCReg","Rho00_Constant3_BiasSCPI","Rho00_Constant4_CoverSPSC","Rho00_Constant4_CoverSPSCReg","Rho00_Constant4_CoverSCPI","Rho00_Constant4_LengthSPSC","Rho00_Constant4_LengthSPSCReg","Rho00_Constant4_LengthSCPI","Rho00_Constant4_BiasSPSC","Rho00_Constant4_BiasSPSCReg","Rho00_Constant4_BiasSCPI","Rho00_Constant5_CoverSPSC","Rho00_Constant5_CoverSPSCReg","Rho00_Constant5_CoverSCPI","Rho00_Constant5_LengthSPSC","Rho00_Constant5_LengthSPSCReg","Rho00_Constant5_LengthSCPI","Rho00_Constant5_BiasSPSC","Rho00_Constant5_BiasSPSCReg","Rho00_Constant5_BiasSCPI","Rho05_Constant1_CoverSPSC","Rho05_Constant1_CoverSPSCReg","Rho05_Constant1_CoverSCPI","Rho05_Constant1_LengthSPSC","Rho05_Constant1_LengthSPSCReg","Rho05_Constant1_LengthSCPI","Rho05_Constant1_BiasSPSC","Rho05_Constant1_BiasSPSCReg","Rho05_Constant1_BiasSCPI","Rho05_Constant2_CoverSPSC","Rho05_Constant2_CoverSPSCReg","Rho05_Constant2_CoverSCPI","Rho05_Constant2_LengthSPSC","Rho05_Constant2_LengthSPSCReg","Rho05_Constant2_LengthSCPI","Rho05_Constant2_BiasSPSC","Rho05_Constant2_BiasSPSCReg","Rho05_Constant2_BiasSCPI","Rho05_Constant3_CoverSPSC","Rho05_Constant3_CoverSPSCReg","Rho05_Constant3_CoverSCPI","Rho05_Constant3_LengthSPSC","Rho05_Constant3_LengthSPSCReg","Rho05_Constant3_LengthSCPI","Rho05_Constant3_BiasSPSC","Rho05_Constant3_BiasSPSCReg","Rho05_Constant3_BiasSCPI","Rho05_Constant4_CoverSPSC","Rho05_Constant4_CoverSPSCReg","Rho05_Constant4_CoverSCPI","Rho05_Constant4_LengthSPSC","Rho05_Constant4_LengthSPSCReg","Rho05_Constant4_LengthSCPI","Rho05_Constant4_BiasSPSC","Rho05_Constant4_BiasSPSCReg","Rho05_Constant4_BiasSCPI","Rho05_Constant5_CoverSPSC","Rho05_Constant5_CoverSPSCReg","Rho05_Constant5_CoverSCPI","Rho05_Constant5_LengthSPSC","Rho05_Constant5_LengthSPSCReg","Rho05_Constant5_LengthSCPI","Rho05_Constant5_BiasSPSC","Rho05_Constant5_BiasSPSCReg","Rho05_Constant5_BiasSCPI","Rho10_Constant1_CoverSPSC","Rho10_Constant1_CoverSPSCReg","Rho10_Constant1_CoverSCPI","Rho10_Constant1_LengthSPSC","Rho10_Constant1_LengthSPSCReg","Rho10_Constant1_LengthSCPI","Rho10_Constant1_BiasSPSC","Rho10_Constant1_BiasSPSCReg","Rho10_Constant1_BiasSCPI","Rho10_Constant2_CoverSPSC","Rho10_Constant2_CoverSPSCReg","Rho10_Constant2_CoverSCPI","Rho10_Constant2_LengthSPSC","Rho10_Constant2_LengthSPSCReg","Rho10_Constant2_LengthSCPI","Rho10_Constant2_BiasSPSC","Rho10_Constant2_BiasSPSCReg","Rho10_Constant2_BiasSCPI","Rho10_Constant3_CoverSPSC","Rho10_Constant3_CoverSPSCReg","Rho10_Constant3_CoverSCPI","Rho10_Constant3_LengthSPSC","Rho10_Constant3_LengthSPSCReg","Rho10_Constant3_LengthSCPI","Rho10_Constant3_BiasSPSC","Rho10_Constant3_BiasSPSCReg","Rho10_Constant3_BiasSCPI","Rho10_Constant4_CoverSPSC","Rho10_Constant4_CoverSPSCReg","Rho10_Constant4_CoverSCPI","Rho10_Constant4_LengthSPSC","Rho10_Constant4_LengthSPSCReg","Rho10_Constant4_LengthSCPI","Rho10_Constant4_BiasSPSC","Rho10_Constant4_BiasSPSCReg","Rho10_Constant4_BiasSCPI","Rho10_Constant5_CoverSPSC","Rho10_Constant5_CoverSPSCReg","Rho10_Constant5_CoverSCPI","Rho10_Constant5_LengthSPSC","Rho10_Constant5_LengthSPSCReg","Rho10_Constant5_LengthSCPI","Rho10_Constant5_BiasSPSC","Rho10_Constant5_BiasSPSCReg","Rho10_Constant5_BiasSCPI"
1,1,1,3.34,2.12,2.65840978396904,-1.52647232731789,-0.0982574084563367,-0.124209573569622,1,1,1,3.35,2.11,2.57426339879716,-1.43056571053013,-0.0206644716707082,-0.0755642347986266,1,1,1,3.36,2.09,2.49197390146348,-1.33465909374236,0.0569284651149204,-0.0269188960276319,1,1,1,3.28,2.08,2.4280911367515,-1.2387524769546,0.134521401900549,0.0217264427433628,1,1,1,3.31,2.07,2.39105003231211,-1.14284586016683,0.212114338686177,0.0703717815143576,1,1,1,3.51,2.08,2.85176281770937,-0.906117587578382,-0.486292058666834,-0.199254889284538,1,1,1,3.51,2.04,2.71954810515132,-0.91337112034352,-0.437960177161477,-0.145063320811691,1,1,1,3.49,2.04,2.59773355692186,-0.920624653108657,-0.38962829565612,-0.0908717523388438,1,1,1,3.47,2.05,2.48278853927639,-0.927878185873795,-0.341296414150763,-0.0366801838659969,1,1,1,3.46,2.05,2.39727064417037,-0.935131718638932,-0.292964532645406,0.0175113846068504,0,1,1,3.73,3.37,2.98735117048458,2.55520481663238,0.815679973509595,0.217235627519288,0,1,1,3.15,2.89,2.79194542555912,2.2648521687369,0.830480180229735,0.218414877291141,0,1,1,3.4,3,2.65992568874892,1.97449952084142,0.845280386949875,0.219594127062995,1,1,1,4.14,3.31,2.64829880697346,1.68414687294595,0.860080593670015,0.220773376834849,1,1,1,4.67,3.59,2.64433516112372,1.39379422505047,0.874880800390155,0.221952626606703
1,1,1,3.8,3.62,2.39167096462284,-1.05020202636534,-1.05840032648912,-0.656872266372483,1,1,1,3.85,3.73,2.42122025105605,-1.14888814995337,-1.15463154758111,-0.620115243746839,1,1,1,3.39,3.26,2.48415187409942,-1.2475742735414,-1.2508627686731,-0.583358221121194,1,1,1,3.81,3.8,2.55225946893193,-1.34626039712943,-1.34709398976509,-0.546601198495549,1,1,1,3.78,3.77,2.67247833977217,-1.44494652071746,-1.44332521085709,-0.509844175869904,1,1,1,3.31,2.3,2.51791362851553,-0.284817952958788,-0.664539220243019,-0.755152948039372,1,1,1,3.15,2.32,2.46255167008721,-0.354432265950755,-0.697649308838999,-0.706341158876186,1,1,1,3.09,2.35,2.44770736020878,-0.424046578942723,-0.730759397434979,-0.657529369712999,1,1,1,3.18,2.4,2.45652180370066,-0.493660891934691,-0.76386948603096,-0.608717580549813,1,1,1,3.38,2.45,2.49182162907476,-0.563275204926658,-0.79697957462694,-0.559905791386627,1,1,1,4,3.91,3.70782086342823,-0.211959770411976,-0.219916247548915,-0.823810077847014,1,1,1,3.7,3.59,3.34773056689553,-0.0440895706221425,-0.0562345096210004,-0.72052752617912,1,1,1,3.37,3.33,3.1775038411637,0.123780629167691,0.107447228306916,-0.617244974511226,1,1,1,3.16,3.12,3.08890725330235,0.291650828957525,0.271128966234833,-0.513962422843332,1,1,1,3,2.97,3.04466055462986,0.459521028747359,0.434810704162749,-0.410679871175438
1,1,1,6.59,2.77,2.64870488725053,-0.650271186561221,-0.0446124834049507,0.134477939939008,1,1,1,6.37,2.77,2.70807512314111,-0.518582256940677,0.0152049612025349,0.171789749922546,1,1,1,5.23,2.78,2.84740478405289,-0.386893327320132,0.0750224058100205,0.209101559906084,1,1,1,5.2,2.8,3.02676990676094,-0.255204397699587,0.134839850417506,0.246413369889622,1,1,1,5.38,2.83,3.2617710603939,-0.123515468079042,0.194657295024992,0.28372517987316,1,1,1,5.23,3.72,2.75896577716878,0.383351162215285,0.090648264657256,-0.00868100943252254,1,1,1,5.25,3.72,2.833726689088,0.347618784113747,0.137842581576011,0.0189418284132219,1,1,1,5.29,3.73,2.93988034408078,0.311886406012208,0.185036898494766,0.0465646662589665,1,1,1,5.48,3.75,3.0835272220498,0.27615402791067,0.232231215413522,0.074187504104711,1,1,1,5.71,3.77,3.26313576477158,0.240421649809132,0.279425532332277,0.101810341950455,1,1,1,4.36,2.92,2.81245088891239,0.144753684084354,-0.765480656885374,0.207179564804159,1,1,1,4.58,2.81,2.80991445769403,0.0499989182792069,-0.687972015776108,0.255600508752571,1,1,1,4.72,2.49,2.92575738908035,-0.0447558475259395,-0.610463374666843,0.304021452700981,1,1,1,4.66,2.6,3.07341181625065,-0.139510613331088,-0.532954733557577,0.352442396649392,1,1,1,4.49,2.78,3.35374340950755,-0.234265379136235,-0.455446092448311,0.400863340597803
1,1,1,3.96,2.43,2.97659298600286,1.60125428911525,0.0573920719051849,0.0681750507094051,1,1,1,3.86,2.43,3.03370570261695,1.50774423428735,0.135932397768507,0.117619619030146,1,1,1,4.21,2.44,3.09110852555853,1.41423417945945,0.21447272363183,0.167064187350886,1,1,1,4.96,2.45,3.16590354667356,1.32072412463154,0.293013049495153,0.216508755671627,1,1,1,5.57,2.46,3.25683339988406,1.22721406980364,0.371553375358475,0.265953323992368,1,1,1,5.26,2.85,2.25880977081251,-0.641766002501409,0.164277338803581,0.226984457142905,1,1,1,4.55,2.83,2.19830600819089,-0.825097646348721,0.167648119196573,0.285441227256327,1,1,1,4.37,2.83,2.14605985017362,-1.00842929019603,0.171018899589566,0.343897997369749,1,1,1,3.94,2.82,2.1548585249852,-1.19176093404335,0.174389679982558,0.402354767483171,1,1,1,4.2,2.83,2.2198170903295,-1.37509257789066,0.177760460375551,0.460811537596593,1,0,1,4.96,3.18,2.97127687935645,2.22940893011826,1.86020251802797,0.21628823982273,0,0,1,4.78,3.39,3.16597794627504,2.50393924399729,1.98604435742846,0.217864203617576,0,0,1,4.61,3.63,3.39095785082438,2.77846955787632,2.11188619682895,0.219440167412423,0,0,1,4.66,3.96,3.64596192212243,3.05299987175535,2.23772803622943,0.221016131207269,0,0,1,4.94,4.43,3.93354584486127,3.32753018563439,2.36356987562992,0.222592095002116
1,1,1,4.21,2.9,2.97023022002964,1.7033773081411,0.982415753558118,0.692568634698102,1,1,1,4.1,2.93,2.86431243799109,1.60234199734978,0.895229771755312,0.683352086020639,1,1,1,4.19,2.84,2.77400961026555,1.50130668655846,0.808043789952506,0.674135537343176,1,1,1,4.41,2.89,2.70136871686034,1.40027137576713,0.720857808149699,0.664918988665713,1,1,1,4.75,3,2.62587552345378,1.29923606497581,0.633671826346893,0.655702439988249,0,1,1,3.29,2.13,2.47268790265122,2.10154887327614,0.863997336574272,0.77522958847719,0,1,1,3.11,2.23,2.42048902128239,1.96814637640296,0.853678785493525,0.766920888079887,0,1,1,3.47,2.19,2.38830766171804,1.83474387952978,0.843360234412779,0.758612187682584,1,1,1,3.4,2.2,2.38608673668081,1.70134138265661,0.833041683332032,0.750303487285281,0,1,1,2.97,2.27,2.38121570108961,1.56793888578343,0.822723132251285,0.741994786887977,0,1,1,2.4,3.5,3.18877931301329,1.18952799898834,0.341921503606956,0.653174842628536,1,1,1,3.05,3.35,3.15333458944729,1.10106120197989,0.47717045430987,0.628544306720566,1,1,1,3.13,3.31,3.19407348786769,1.01259440497144,0.612419405012784,0.603913770812595,1,1,1,3.54,3.3,3.28933209897294,0.924127607962986,0.747668355715698,0.579283234904625,1,1,1,3.96,3.18,3.47158734705682,0.835660810954533,0.882917306418611,0.554652698996654
1,1,1,2.93,2.92,2.24262305817459,0.259966831324693,0.284439912054463,-0.137633406513658,1,1,1,3.23,3.21,2.40754947165942,0.164137751117213,0.183741535301941,-0.131661418208856,1,1,1,3.48,3.46,2.38331991511623,0.068308670909732,0.0830431585494191,-0.125689429904054,1,1,1,3.41,3.4,2.35324866251803,-0.0275204092977485,-0.0176552182031028,-0.119717441599251,1,1,1,3.43,3.43,2.37233544538585,-0.123349489505229,-0.118353594955625,-0.11374545329445,1,1,1,3.77,2.44,3.08920120136253,1.07713962321919,-0.0615178674021248,-0.133329854495611,1,1,1,4.03,2.38,2.94594569134631,0.774336772930638,-0.116793704881204,-0.121580047116408,1,1,1,4.58,2.42,2.83482871278534,0.471533922642087,-0.172069542360284,-0.109830239737204,1,1,1,4.88,2.43,2.73746104293165,0.168731072353536,-0.227345379839364,-0.0980804323580013,1,1,1,4.82,2.51,2.69500641636201,-0.134071777935015,-0.282621217318443,-0.0863306249787983,1,0,1,3.48,2.43,3.36273449798151,1.37784578456515,1.24572602103373,-0.141422502255502,1,1,1,3.3,2.34,3.18031674970659,1.13263899765522,1.11877771658645,-0.112277760615918,1,1,1,3.21,2.28,3.05093248832094,0.887432210745279,0.991829412139179,-0.0831330189763335,1,1,1,3.75,2.35,2.96510074929453,0.642225423835342,0.864881107691902,-0.0539882773367495,1,1,1,3.58,3.36,2.94727026463329,0.397018636925404,0.737932803244625,-0.0248435356971655
1,1,1,5.54,2.46,2.2563073525771,0.0847709383668175,-0.219291700694688,-0.188582158330026,1,1,1,5.59,2.44,2.18097975845521,-0.0143633410239733,-0.176613655642529,-0.201962109639774,1,1,1,5.57,2.39,2.13068730370663,-0.113497620414764,-0.13393561059037,-0.215342060949522,1,1,1,5.48,2.38,2.17798804105791,-0.212631899805555,-0.0912575655382111,-0.22872201225927,1,1,1,5.45,2.38,2.30777210935698,-0.311766179196346,-0.0485795204860521,-0.242101963569019,1,1,1,5.48,4.66,2.22669680827513,1.0974267709019,0.623084082852325,-0.154548583769101,1,1,1,5.75,4.67,2.0942176869352,0.777632839821663,0.403164613765502,-0.159524146112588,1,1,1,5.89,4.58,2.01442085747121,0.457838908741423,0.18324514467868,-0.164499708456075,1,1,1,5.87,4.41,1.95043723583232,0.138044977661184,-0.0366743244081416,-0.169475270799562,1,1,1,5.59,4.33,1.97578795970776,-0.181748953419056,-0.256593793494964,-0.17445083314305,1,1,1,3.03,3.11,4.23472059466339,-1.17376823733681,-0.921914995677928,-0.326362556799346,1,1,1,3.16,2.77,3.77554515624283,-0.879448555236093,-0.641955226661064,-0.268043248021671,1,1,1,3.33,3,3.48525102236982,-0.585128873135378,-0.3619954576442,-0.209723939243997,1,1,1,3.43,3.13,3.31065246243545,-0.290809191034661,-0.0820356886273359,-0.15140463046632,1,1,1,3.51,3.23,3.43537089594261,0.00351049106605927,0.197924080389528,-0.0930853216886458
1,1,1,7.54,2.88,2.12645119502039,-0.699142589430777,-0.332040750245312,0.128065064091277,1,1,1,7.57,2.88,2.06885033501767,-0.194053406279618,-0.170361486390876,0.152621486251279,1,1,1,7.91,2.88,2.07572472937582,0.311035776871541,-0.0086822225364412,0.177177908411282,1,1,1,8.25,2.88,2.10316031038743,0.816124960022701,0.152997041317994,0.201734330571284,1,1,1,8.6,2.87,2.17631576331184,1.32121414317386,0.314676305172429,0.226290752731286,1,1,1,4.27,2.62,2.12855849057143,0.523509295470471,-0.591673452695957,0.153328284439577,1,1,1,4.5,2.61,2.1470655243341,0.368147648481324,-0.463849094075375,0.172589175578844,1,1,1,4.47,2.61,2.17912784963457,0.212786001492176,-0.336024735454794,0.191850066718112,1,1,1,4.43,2.62,2.26141936974865,0.0574243545030283,-0.208200376834213,0.21111095785738,1,1,1,4.53,2.63,2.36774783185326,-0.0979372924861193,-0.0803760182136315,0.230371848996647,1,1,1,4.54,4.24,4.01755622920474,0.593294572355592,0.603885501176626,0.0390383331543092,1,1,1,4.13,3.9,4.08680575576053,0.460626444667913,0.530229783001987,0.0995577506889536,1,1,1,3.83,3.68,4.23557266052887,0.327958316980237,0.45657406482735,0.160077168223597,1,1,1,3.66,3.53,4.45761014009034,0.195290189292557,0.382918346652711,0.220596585758244,1,1,1,3.47,3.31,4.73247044128146,0.062622061604876,0.309262628478073,0.281116003292888
1,1,1,6.08,2.83,2.52477737127688,1.49860754990056,0.267957737876621,-0.296732199263517,1,1,1,6.54,2.83,2.39890533078201,1.53875354351854,0.411699635595766,-0.268050322795496,1,1,1,7.18,2.83,2.36480746312374,1.57889953713651,0.55544153331491,-0.239368446327474,1,1,1,7.18,2.84,2.43471524293738,1.61904553075448,0.699183431034055,-0.210686569859453,1,1,1,7.18,2.83,2.51467940695306,1.65919152437245,0.8429253287532,-0.182004693391431,1,1,1,3.85,2.48,2.16655559224603,-0.63475610140247,0.490593093127432,-0.26802639821001,1,1,1,3.82,2.47,2.00964878974813,-0.636240867413456,0.584562684272539,-0.236899611258244,1,1,1,3.83,2.46,1.95955031490762,-0.637725633424442,0.678532275417646,-0.205772824306478,1,1,1,3.94,2.44,1.88958821995122,-0.639210399435427,0.772501866562754,-0.174646037354713,1,1,1,4.05,2.44,1.95510739346136,-0.640695165446412,0.866471457707861,-0.143519250402947,1,1,1,2.96,2.96,2.88534692874992,0.228211736181863,0.223665707354547,-0.074436694813933,1,1,1,2.79,2.79,2.69502245337006,0.115090898434353,0.112913316029263,-0.0691488988215623,1,1,1,3.29,3.29,2.55011447985251,0.00197006068684225,0.00216092470397822,-0.0638611028291907,1,1,1,3.44,3.44,2.47488638448395,-0.111150777060669,-0.108591466621306,-0.0585733068368199,1,1,1,3.42,3.42,2.41237650331847,-0.224271614808179,-0.21934385794659,-0.0532855108444492
1,1,1,7.23,2.24,3.55545104028826,-1.19758159343763,-0.532056305066856,-0.898944915481095,1,1,1,7.05,2.27,3.13970372295504,-1.21412188919415,-0.570762520784664,-0.875430163082421,1,1,1,6.83,2.25,2.77578569599851,-1.23066218495067,-0.609468736502471,-0.851915410683748,1,1,1,6.58,2.31,2.50622824174628,-1.24720248070719,-0.648174952220279,-0.828400658285075,1,1,1,6.44,2.33,2.30740422575013,-1.26374277646371,-0.686881167938087,-0.804885905886402,1,1,1,5.07,3.65,2.88557967067554,-1.5979579212435,-1.49083903821328,-0.977736107257904,1,1,1,4.89,3.55,2.62217495784865,-1.47549255533443,-1.51605595622068,-0.952433736120159,1,1,1,4.81,3.5,2.41087457751359,-1.35302718942536,-1.54127287422807,-0.927131364982413,1,1,1,4.82,3.41,2.29275658526633,-1.23056182351629,-1.56648979223547,-0.901828993844668,1,0,1,4.97,3.44,2.33336825176517,-1.10809645760722,-1.59170671024286,-0.876526622706922,0,0,1,2.41,2.62,3.18234682456844,-2.7954977414731,-1.8812475746888,-0.980020455726628,0,0,1,3.89,1.91,3.13191061724439,-2.96532819901749,-2.04183552899256,-1.02936243841846,0,0,1,3.49,3.34,3.20721463589732,-3.13515865656187,-2.20242348329632,-1.07870442111029,0,0,1,2.48,3.17,3.26733612085247,-3.30498911410626,-2.36301143760008,-1.12804640380212,0,0,1,3.62,2.17,3.43287577378603,-3.47481957165064,-2.52359939190385,-1.17738838649395
