"Time","SPSC","SPSC_Reg","SPSC_LB","SPSC_UB","SPSC_Reg_LB","SPSC_Reg_UB"
218,-0.0173995747218303,-0.000722513275457359,-0.0513995747218303,0.0186004252781697,-0.104722513275457,0.101277486724543
219,-0.0396063649339808,-0.0299375286615051,-0.0756063649339809,-0.00360636493398081,-0.133937528661505,0.072062471338495
220,-0.0301838885088479,-0.0484095559009869,-0.0621838885088479,0.00581611149115213,-0.152409555900987,0.0535904440990131
221,-0.0492894935648049,-0.0689840877448384,-0.083289493564805,-0.0132894935648049,-0.172984087744838,0.0330159122551617
222,-0.0173392123768465,-0.0734335539157298,-0.0533392123768466,0.0186607876231535,-0.17743355391573,0.0285664460842703
223,-0.0510275848066435,-0.107121926345527,-0.0870275848066435,-0.0150275848066435,-0.211121926345527,-0.00512192634552666
224,-0.105729805255835,-0.151122050739526,-0.141729805255835,-0.0697298052558346,-0.255122050739526,-0.0491220507395262
225,-0.140426047730793,-0.187293942802857,-0.176426047730793,-0.104426047730793,-0.291293942802857,-0.0852939428028565
226,-0.376998607226256,-0.422861294754163,-0.412998607226256,-0.340998607226256,-0.526861294754163,-0.320861294754163
227,-0.371008512984536,-0.425200313996526,-0.407008512984536,-0.335008512984536,-0.529200313996526,-0.323200313996526
228,-0.397427954741295,-0.452362625610753,-0.435427954741295,-0.361427954741295,-0.556362625610753,-0.350362625610753
229,-0.440387889567207,-0.444181913533196,-0.472387889567207,-0.402387889567207,-0.548181913533196,-0.342181913533196
230,-0.462494753875686,-0.403954797246559,-0.578494753875686,-0.410494753875686,-0.507954797246559,-0.301954797246559
231,-0.471217730686583,-0.409974367510231,-0.585217730686583,-0.419217730686583,-0.513974367510231,-0.307974367510231
232,-0.466470909132598,-0.405471209590622,-0.490470909132598,-0.416470909132598,-0.509471209590622,-0.303471209590622
233,-0.467950930089454,-0.411359787732922,-0.603950930089454,-0.411950930089454,-0.515359787732922,-0.309359787732922
234,-0.473569261135568,-0.416138107552137,-0.609569261135568,-0.419569261135568,-0.520138107552137,-0.314138107552137
235,-0.479407201091945,-0.419907810415486,-0.613407201091945,-0.425407201091945,-0.523907810415486,-0.317907810415486
236,-0.500595184251614,-0.421442670042097,-0.528595184251614,-0.458595184251614,-0.525442670042097,-0.319442670042097
237,-0.511749502822985,-0.427175253062681,-0.537749502822985,-0.469749502822985,-0.531175253062681,-0.325175253062681
238,-0.563324354505603,-0.479253701191191,-0.589324354505603,-0.521324354505603,-0.583253701191191,-0.377253701191191
239,-0.631203051029924,-0.543349757976925,-0.657203051029924,-0.589203051029924,-0.647349757976925,-0.441349757976925
240,-0.628886725786329,-0.545615829357037,-0.656886725786329,-0.586886725786329,-0.649615829357037,-0.443615829357037
241,-0.638244752578673,-0.553425750936333,-0.666244752578673,-0.596244752578673,-0.657425750936333,-0.451425750936333
242,-0.641961150896304,-0.556861451794913,-0.669961150896304,-0.599961150896304,-0.660861451794913,-0.454861451794913
243,-0.64836952352269,-0.562216826502896,-0.67636952352269,-0.60636952352269,-0.666216826502896,-0.460216826502896
